x, y, x_pixel, y_pixel,x_mm,y_mm,x_err,y_err,,,,,,,,,,,,
30,110,395.3572693,1207.9104,28.437809,109.45816,1.562191,0.54184,,,,,,,,,,,,
40,110,486.8746033,1210.527222,37.937588,109.71484,2.062412,0.28516,,,,,,,,,,,,
50,110,589.9762573,1213.673462,48.37144,110.01584,1.62856,0.01584,,,,,,,,,,,,
60,110,688.7446289,1216.523071,58.272007,110.291595,1.727993,0.291595,,,,,,,,,,,,
70,110,794.2670898,1215.230713,68.6803,110.17163,1.3197,0.17163,,,,,,,,,,,,
80,110,903.8464355,1221.728271,79.18762,110.794495,0.81238,0.794495,,,,,,,,,,,,
90,110,1019,1221.5,89.96825,110.77286,0.03175,0.77286,,,,,,,,,,,,
100,110,1133.63855,1219.214478,100.72597,110.54813,0.72597,0.54813,,,,,,,,,,,,
110,110,1243.123901,1220.83728,111.307526,110.71884,1.307526,0.71884,,,,,,,,,,,,
120,110,1348.55481,1215.51709,121.81236,110.19281,1.81236,0.19281,,,,,,,,,,,,
130,110,1447.544922,1213.432983,131.8989,109.992676,1.8989,0.007324,,,,,,,,,,,,
140,110,1545.611328,1214.89502,142.01797,110.13513,2.01797,0.13513,,,,,,,,,,,,
150,110,1641.499512,1211.57959,152.22906,109.8103,2.22906,0.1897,,,,,,,,,,,,
160,110,1734.926392,1207.702393,162.76529,109.43988,2.76529,0.56012,,,,,,,,,,,,
170,110,1824.461182,1209.578003,173.31952,109.6189,3.31952,0.3811,,,,,,,,,,,,
180,110,1908.232056,1208.467041,182.09897,109.52185,2.09897,0.47815,,,,,,,,,,,,
0,120,123,1298,-0.84022427,118.2496,0.84022427,1.7504,,,,,,,,,,,,
10,120,210.5952301,1302.410767,7.7690363,118.68167,2.2309637,1.31833,,,,,,,,,,,,
20,120,304.8461609,1305.775879,18.528965,119.014404,1.471035,0.985596,,,,,,,,,,,,
30,120,397.8685913,1306.760254,28.704212,119.11905,1.295788,0.88095,,,,,,,,,,,,
40,120,490.4473877,1310.319946,38.302143,119.465485,1.697857,0.534515,,,,,,,,,,,,
50,120,589.373291,1317.681152,48.31071,120.20062,1.68929,0.20062,,,,,,,,,,,,
60,120,693.9675903,1321.991455,58.79298,120.62604,1.20702,0.62604,,,,,,,,,,,,
70,120,800.1134644,1322.401489,69.24895,120.66196,0.75105,0.66196,,,,,,,,,,,,
80,120,905.6037598,1325.471436,79.35271,120.957275,0.64729,0.957275,,,,,,,,,,,,
90,120,1020.286438,1326.805054,90.08838,121.09616,0.08838,1.09616,,,,,,,,,,,,
100,120,1128.421021,1326.174072,100.23361,121.02841,0.23361,1.02841,,,,,,,,,,,,
110,120,1240.12561,1324.391235,111.00696,120.85437,1.00696,0.85437,,,,,,,,,,,,
120,120,1345.255981,1324.464844,121.48784,120.87866,1.48784,0.87866,,,,,,,,,,,,
130,120,1443.511353,1320.765991,131.48856,120.4935,1.48856,0.4935,,,,,,,,,,,,
140,120,1544.56189,1317.539063,141.91687,120.1759,1.91687,0.1759,,,,,,,,,,,,
150,120,1636.353271,1314.348877,151.66513,119.86264,1.66513,0.13736,,,,,,,,,,,,
160,120,1729.185913,1308.03186,162.08826,119.24344,2.08826,0.75656,,,,,,,,,,,,
170,120,1818.604126,1307.777344,172.68472,119.21411,2.68472,0.78589,,,,,,,,,,,,
180,120,1905.557617,1302.438599,181.8877,118.68915,1.8877,1.31085,,,,,,,,,,,,
0,130,127,1394.5,-0.5375719,127.82864,0.5375719,2.17136,,,,,,,,,,,,
10,130,217.5382233,1400.589233,8.551667,128.43414,1.448333,1.56586,,,,,,,,,,,,
20,130,305.5188904,1405.466797,18.604881,128.90695,1.395119,1.09305,,,,,,,,,,,,
30,130,401.7017822,1410.338379,29.110073,129.39816,0.889927,0.60184,,,,,,,,,,,,
40,130,494.3059387,1415.331909,38.695408,129.89114,1.304592,0.10886,,,,,,,,,,,,
50,130,593.1254883,1417.003784,48.68838,130.05722,1.31162,0.05722,,,,,,,,,,,,
60,130,694.4429321,1424.78418,58.840183,130.85538,1.159817,0.85538,,,,,,,,,,,,
70,130,800.1147461,1425.656006,69.2487,130.9296,0.7513,0.9296,,,,,,,,,,,,
80,130,907.8369141,1432.621338,79.563934,131.61148,0.436066,1.61148,,,,,,,,,,,,
90,130,1016.641663,1430.273193,89.746704,131.38312,0.253296,1.38312,,,,,,,,,,,,
100,130,1125.425781,1432.880493,99.94592,131.63354,0.05408,1.63354,,,,,,,,,,,,
110,130,1235.759277,1430.720581,110.5795,131.44177,0.5795,1.44177,,,,,,,,,,,,
120,130,1337.575562,1427.518188,120.709595,131.10913,0.709595,1.10913,,,,,,,,,,,,
130,130,1442.19519,1422.89209,131.34515,130.66064,1.34515,0.66064,,,,,,,,,,,,
140,130,1539.040283,1417.584473,141.327,130.12265,1.327,0.12265,,,,,,,,,,,,
150,130,1632.701416,1411.470581,151.27716,129.50726,1.27716,0.49274,,,,,,,,,,,,
160,130,1727.288208,1406.480225,161.8724,129.01727,1.8724,0.98273,,,,,,,,,,,,
170,130,1817.112061,1405.489502,172.44049,128.9086,2.44049,1.0914,,,,,,,,,,,,
180,130,1903.512939,1398.3573,181.7186,128.21515,1.7186,1.78485,,,,,,,,,,,,
0,140,131.5,1490,-0.1817236,137.33249,0.1817236,2.66751,,,,,,,,,,,,
10,140,218.3177338,1496.721802,8.639905,137.99454,1.360095,2.00546,,,,,,,,,,,,
20,140,309.5341187,1499.488281,19.057362,138.28323,0.942638,1.71677,,,,,,,,,,,,
30,140,403.1108704,1508.198608,29.259052,139.1156,0.740948,0.8844,,,,,,,,,,,,
40,140,499.0762939,1510.412842,39.180996,139.37152,0.819004,0.62848,,,,,,,,,,,,
50,140,601.0858765,1516.942505,49.489437,140.0387,0.510563,0.0387,,,,,,,,,,,,
60,140,698.3752441,1521.481689,59.231716,140.46481,0.768284,0.46481,,,,,,,,,,,,
