x, y, x_pixel, y_pixel,x_mm,y_mm,err_x,err_y,x_mm_,y_mm_,err_x,err_y,,,,,,,,,,,
90,60,1021,679,90.0285311,58.33094928,0.028531104,1.669050716,90.07645898,58.15235305,0.076458981,1.847646951,,,,,,,,,,,
100,60,1131.598999,682.6278687,100.5301856,58.69802918,0.530185572,1.301970822,100.4063486,58.52656252,0.40634862,1.473437484,,,,,,,,,,,
110,60,1237.855347,682.7570801,110.7282868,58.71109258,0.728286826,1.288907422,110.5877082,58.53988723,0.587708248,1.460112771,,,,,,,,,,,
120,60,1341.978882,689.9607544,120.8635942,59.43870345,0.863594186,0.561296554,120.8689071,59.28237975,0.868907119,0.717620253,,,,,,,,,,,
130,60,1442.966064,691.8164063,130.8906759,59.62587052,0.89067586,0.374129478,131.030137,59.47351984,1.030136993,0.526480155,,,,,,,,,,,
140,60,1541.963989,700.4387207,141.0163757,60.49413765,1.016375699,0.494137646,141.1060375,60.36093078,1.106037459,0.360930783,,,,,,,,,,,
150,60,1636.459595,703.5442505,151.0749049,60.80630236,1.074904924,0.806302363,150.9801029,60.68024333,0.980102892,0.680243329,,,,,,,,,,,
160,60,1729.755615,711.8280029,161.4250757,61.63757652,1.42507569,1.63757652,161.2950714,61.53111576,1.295071394,1.531115756,,,,,,,,,,,
170,60,1817.932007,716.0614624,171.3889698,62.06163108,1.388969793,2.061631077,171.5301936,61.96544202,1.530193592,1.965442022,,,,,,,,,,,
180,60,1903.068359,719.4871826,180.514043,62.4043914,0.514042951,2.404391404,180.4290191,62.31662856,0.42901908,2.31662856,,,,,,,,,,,
0,70,127.5,807.5,-0.720790199,71.10836471,0.720790199,1.10836471,-0.498815849,71.23130024,0.498815849,1.231300239,,,,,,,,,,,
10,70,214.01651,803.0487061,8.465805868,70.67229321,1.534194132,0.672293211,8.153908411,70.78632394,1.846091589,0.786323936,,,,,,,,,,,
20,70,306.5,801,18.54981848,70.47145782,1.450181525,0.471457821,18.71532891,70.58128886,1.284671093,0.581288858,,,,,,,,,,,
30,70,397.9890747,796.0664673,28.4962072,69.98749029,1.503792796,0.012509711,28.71616406,70.08693821,1.283835942,0.086938215,,,,,,,,,,,
40,70,493.8786011,795.6482544,38.68731561,69.94644409,1.312684393,0.053555908,38.64947314,70.0449936,1.350526855,0.044993597,,,,,,,,,,,
50,70,593.1905518,788.5302124,48.89363242,69.24726036,1.106367581,0.75273964,48.68934223,69.33017323,1.310657768,0.669826766,,,,,,,,,,,
60,70,695.322876,788.6075439,59.02668282,69.25486198,0.973317178,0.745138025,58.91555634,69.33794838,1.08444366,0.662051615,,,,,,,,,,,
70,70,802.5533447,783.5574951,69.36319233,68.75818429,0.636807675,1.24181571,69.46193315,68.82978156,0.538066852,1.170218437,,,,,,,,,,,
80,70,910.5,781.5,79.59524648,68.55566396,0.404753521,1.444336035,79.77047427,68.62250183,0.229525728,1.377498174,,,,,,,,,,,
90,70,1019.695618,778.6074829,89.90518224,68.27080512,0.094817755,1.729194876,89.95533057,68.33086516,0.044669428,1.669134842,,,,,,,,,,,
100,70,1131.5,782.5,100.5207479,68.65410463,0.520747934,1.345895369,100.3970071,68.72326291,0.397007059,1.276737086,,,,,,,,,,,
110,70,1239,785.5,110.8388452,68.94929492,0.838845244,1.050705078,110.6991805,69.02534871,0.699180534,0.974651288,,,,,,,,,,,
120,70,1345.414551,788.1473999,121.201017,69.20962843,1.20101701,0.790371568,121.2122797,69.29168113,1.212279749,0.708318871,,,,,,,,,,,
130,70,1446,794,131.1959746,69.78463616,1.195974648,0.215363836,131.3371314,69.87962351,1.337131425,0.120376491,,,,,,,,,,,
140,70,1545.759033,797.390564,141.4121965,70.1174272,1.412196543,0.1174272,141.4958284,70.21969853,1.49582837,0.219698526,,,,,,,,,,,
150,70,1639.5,803.5,151.4058577,70.71651879,1.405857698,0.716518795,151.3056858,70.83146973,1.305685786,0.831469727,,,,,,,,,,,
160,70,1732.3396,807.1126099,161.7165669,71.07042746,1.716566861,1.070427461,161.590669,71.19260247,1.590668974,1.192602471,,,,,,,,,,,
170,70,1818.616455,811.5502319,171.4655797,71.50482088,1.46557973,1.504820876,171.6091255,71.63557124,1.60912555,1.635571243,,,,,,,,,,,
180,70,1906.33667,818.4630127,180.8379589,72.18079348,0.837958933,2.180793475,180.7029307,72.32420101,0.702930683,2.324201012,,,,,,,,,,,
0,80,125.4440308,906.4205933,-0.933404983,80.71990656,0.933404983,0.719906557,-0.656873301,80.93327228,0.656873301,0.933272279,,,,,,,,,,,
10,80,210.2844391,904.5390625,8.062261172,80.53819353,1.937738828,0.538193529,7.734124434,80.75198753,2.265875566,0.751987532,,,,,,,,,,,
20,80,303.9008179,902.3942261,18.26565759,80.33100947,1.734342415,0.331009472,18.42202064,80.54519109,1.577979356,0.545191094,,,,,,,,,,,
30,80,395.5,898,28.22786392,79.90641573,1.772136082,0.093584269,28.45216381,80.12103867,1.547836192,0.121038671,,,,,,,,,,,
40,80,493.0118713,897.2930298,38.59661883,79.83808557,1.403381168,0.161914428,38.56117908,80.05273773,1.438820923,0.052737726,,,,,,,,,,,
50,80,589.4256592,895.2172241,48.51338404,79.63743451,1.486615957,0.362565485,48.31056178,79.85209444,1.689438223,0.147905556,,,,,,,,,,,
60,80,691.2738647,889.4301758,58.63108607,79.0778037,1.368913926,0.922196299,58.51256577,79.29194946,1.487434226,0.708050539,,,,,,,,,,,
70,80,796.918335,889.9902954,68.82554683,79.13199231,1.174453165,0.868007687,68.91490036,79.34621566,1.085099636,0.653784342,,,,,,,,,,,
80,80,906.3023071,884.817749,79.19887595,78.63152222,0.801124047,1.36847778,79.37525627,78.84466576,0.624743731,1.155334239,,,,,,,,,,,
90,80,1020,885.5,89.93396693,78.69754812,0.066033069,1.302451884,89.98359616,78.91087317,0.016403837,1.089126834,,,,,,,,,,,
100,80,1131.458862,885.5714722,100.5168094,78.70445913,0.516809402,1.295540868,100.3931254,78.91780806,0.39312537,1.082191938,,,,,,,,,,,
110,80,1243.664063,888.9202271,111.2895847,79.02847178,1.289584697,0.971528224,111.1537852,79.24253449,1.15378521,0.757465515,,,,,,,,,,,
120,80,1345.594238,892.0773926,121.2186746,79.33383629,1.218674633,0.666163713,121.2302441,79.54832453,1.230244091,0.451675472,,,,,,,,,,,
